Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,2.6,Feb,1.07,0.386171105,1005.797675,23.17026633,8.3314,14.83886633
MRM,Ore,2.6,Mar,1.027,0.386171105,965.3777683,23.17026633,7.9672,15.20306633
MRM,Ore,2.6,Apr,0.958,0.386171105,900.5179182,23.17026633,7.9729,15.19736633
MRM,Ore,2.6,May,0.958,0.386171105,900.5179182,23.17026633,7.5509,15.61936633
MRM,Ore,2.6,Jun,0.958,0.386171105,900.5179182,23.17026633,7.74,15.43026633
MRM,Ore,2.6,Jul,0.958,0.386171105,900.5179182,23.17026633,7.7183,15.45196633
MRM,Ore,2.6,Aug,0.958,0.386171105,900.5179182,23.17026633,7.8197,15.35056633
MRM,Ore,2.6,Sep,0.958,0.386171105,900.5179182,23.17026633,7.734,15.43626633
MRM,Ore,2.6,Oct,0.987,0.386171105,927.7778552,23.17026633,7.185,15.98526633
MRM,Ore,2.6,Nov,1.027,0.386171105,965.3777683,23.17026633,7.2715,15.89876633
MRM,Ore,2.6,Dec,1.07,0.386171105,1005.797675,23.17026633,7.2057,15.96456633
MRM,Ore,2.7,Jan,1.07,0.391076461,993.1817388,23.46458769,7.9099,15.55468769
MRM,Ore,2.7,Feb,1.07,0.391076461,993.1817388,23.46458769,8.3314,15.13318769
MRM,Ore,2.7,Mar,1.027,0.391076461,953.2688278,23.46458769,7.9672,15.49738769
MRM,Ore,2.7,Apr,0.958,0.391076461,889.2225288,23.46458769,7.9729,15.49168769
MRM,Ore,2.7,May,0.958,0.391076461,889.2225288,23.46458769,7.5509,15.91368769
MRM,Ore,2.7,Jun,0.958,0.391076461,889.2225288,23.46458769,7.74,15.72458769
MRM,Ore,2.7,Jul,0.958,0.391076461,889.2225288,23.46458769,7.7183,15.74628769
MRM,Ore,2.7,Aug,0.958,0.391076461,889.2225288,23.46458769,7.8197,15.64488769
MRM,Ore,2.7,Sep,0.958,0.391076461,889.2225288,23.46458769,7.734,15.73058769
MRM,Ore,2.7,Oct,0.987,0.391076461,916.1405385,23.46458769,7.185,16.27958769
MRM,Ore,2.7,Nov,1.027,0.391076461,953.2688278,23.46458769,7.2715,16.19308769
MRM,Ore,2.7,Dec,1.07,0.391076461,993.1817388,23.46458769,7.2057,16.25888769
MRM,Ore,2.8,Jan,1.07,0.395897657,981.0868884,23.75385939,7.9099,15.84395939
MRM,Ore,2.8,Feb,1.07,0.395897657,981.0868884,23.75385939,8.3314,15.42245939
MRM,Ore,2.8,Mar,1.027,0.395897657,941.6600321,23.75385939,7.9672,15.78665939
MRM,Ore,2.8,Apr,0.958,0.395897657,878.3936814,23.75385939,7.9729,15.78095939
